客户名,阶段,金额,负责人,下次跟进,来源,标签,已签约,备注
张三科技,方案中,55000,李娜,2026-10-21 14:30:00,展会,急单,否,对接中
李四贸易,谈判中,140000,张伟,2026-10-11 14:30:00,展会,续约,否,价格有异议
王五制造,已成交,195000,陈磊,2026/10/9,广告,续约、急单、重点,是,需上门
赵六物流,已流失,"¥50,000",刘洋,2026-10-12 14:30:00,广告,急单,否,对接中
钱七网络,谈判中,"¥160,000",陈磊,2026-10-15 14:30:00,广告,重点,否,需上门
孙八医疗,谈判中,"¥250,000",刘洋,,展会,续约、大客户、新行业,否,已寄样
周九教育,已流失,"900,000",陈磊,2026-10-21 14:30:00,电话,急单、价格敏感、重点,否,
吴十能源,已流失,"500,000",陈磊,2026-10-19 14:30:00,转介绍,新行业、大客户、重点,否,已寄样
郑一建材,已成交,45000,刘洋,2026/10/3,广告,价格敏感、重点、续约,是,已寄样
王二食品,方案中,,王芳,2026-10-21 14:30:00,转介绍,续约、新行业、重点,否,对接中
冯三服饰,已流失,"800,000",陈磊,2026-09-22,广告,价格敏感,否,需上门
陈四机械,已成交,"900,000",刘洋,2026-10-24 14:30:00,电话,价格敏感、新行业、急单,是,
褚五电子,新线索,"¥40,000",张伟,2026-10-20 14:30:00,转介绍,重点,否,
卫六化工,已成交,40000,刘洋,2026-10-14 14:30:00,展会,大客户、急单,是,等预算
蒋七传媒,新线索,"¥160,000",王芳,2026-09-24,广告,新行业、大客户,否,已寄样
沈八农业,新线索,75000,张伟,2026/10/1,官网,新行业,否,等预算
韩九汽车,跟进中,"400,000",王芳,2026-10-20 14:30:00,电话,急单,否,对接中
杨十地产,已流失,"¥80,000",陈磊,,官网,大客户、续约、新行业,否,已寄样
朱佳信息,新线索,"¥50,000",陈磊,2026/10/6,展会,价格敏感,否,价格有异议
秦川实业,已流失,"¥140,000",王芳,2026-09-22,转介绍,价格敏感、新行业、重点,否,价格有异议
尤氏包装,跟进中,"800,000",李娜,2026-09-22,广告,重点,否,
许记餐饮,已流失,50000,陈磊,2026/10/5,广告,急单,否,等预算
何方环保,谈判中,"¥30,000",张伟,2026-10-23 14:30:00,广告,急单,否,对接中
吕布五金,新线索,"300,000",张伟,2026-09-20,广告,急单、重点、新行业,否,"客户说“先放一放”, 下季度再谈"
施展新能,已成交,"200,000",刘洋,2026/10/4,广告,重点,是,需上门
张量算力,新线索,"600,000",刘洋,2026-10-16 14:30:00,广告,价格敏感、急单,否,需上门
孔明咨询,跟进中,"500,000",陈磊,2026/10/8,展会,价格敏感,否,已寄样
曹氏物联,已流失,85000,刘洋,2026-09-30,转介绍,续约、大客户,否,对接中
严选家居,已流失,40000,王芳,2026-10-15 14:30:00,官网,急单、价格敏感、大客户,否,已寄样
华亭纺织,方案中,35000,张伟,2026/10/9,广告,价格敏感,否,等预算
金鼎珠宝,方案中,170000,王芳,2026/10/2,电话,续约,否,等预算
魏都安防,已流失,"300,000",李娜,2026-09-28,官网,重点、续约,否,已寄样
陶然文旅,新线索,35000,陈磊,2026/10/4,广告,价格敏感,否,
姜记冷链,谈判中,95000,陈磊,2026-09-28,官网,重点、续约,否,对接中
戚风烘焙,已成交,"800,000",李娜,2026/10/3,展会,大客户,是,
谢家园林,已流失,"400,000",陈磊,2026-09-27,转介绍,新行业、价格敏感、急单,否,需上门
