区域,月份,营收
华东,2026-01,652000
华南,2026-01,636000
华北,2026-01,557000
西南,2026-01,334000
华中,2026-01,372000
东北,2026-01,256000
华东,2026-02,714000
华南,2026-02,737000
华北,2026-02,619000
西南,2026-02,360000
华中,2026-02,444000
东北,2026-02,226000
华东,2026-03,823000
华南,2026-03,818000
华北,2026-03,640000
西南,2026-03,448000
华中,2026-03,468000
东北,2026-03,219000
华东,2026-04,916000
华南,2026-04,899000
华北,2026-04,697000
西南,2026-04,573000
华中,2026-04,533000
东北,2026-04,248000
华东,2026-05,968000
华南,2026-05,1001000
华北,2026-05,795000
西南,2026-05,610000
华中,2026-05,557000
东北,2026-05,298000
华东,2026-06,989000
华南,2026-06,1088000
华北,2026-06,832000
西南,2026-06,722000
华中,2026-06,553000
东北,2026-06,352000
华东,2026-07,1090000
华南,2026-07,1117000
华北,2026-07,840000
西南,2026-07,837000
华中,2026-07,623000
东北,2026-07,326000
华东,2026-08,1130000
华南,2026-08,1237000
华北,2026-08,831000
西南,2026-08,960000
华中,2026-08,728000
东北,2026-08,329000
华东,2026-09,1192000
华南,2026-09,1334000
华北,2026-09,911000
西南,2026-09,1027000
华中,2026-09,814000
东北,2026-09,398000
华东,2026-10,1248000
华南,2026-10,1405000
华北,2026-10,992000
西南,2026-10,1147000
华中,2026-10,882000
东北,2026-10,423000
华东,2026-11,1267000
华南,2026-11,1472000
华北,2026-11,992000
西南,2026-11,1169000
华中,2026-11,894000
东北,2026-11,455000
华东,2026-12,1296000
华南,2026-12,1526000
华北,2026-12,1066000
西南,2026-12,1242000
华中,2026-12,988000
东北,2026-12,504000
华东,2027-01,1407000
华南,2027-01,1585000
华北,2027-01,1107000
西南,2027-01,1324000
华中,2027-01,1089000
东北,2027-01,522000
华东,2027-02,1482000
华南,2027-02,1650000
华北,2027-02,1163000
西南,2027-02,1416000
华中,2027-02,1136000
东北,2027-02,565000
